	Kingdom	Phylum	Class	Order	Family	Genus	Species
16S_ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
16S_ASV_2	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_3	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	NA	NA
16S_ASV_5	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
16S_ASV_6	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_7	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Paramaledivibacter	NA
16S_ASV_8	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	NA
16S_ASV_9	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	NA	NA	NA
16S_ASV_10	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
16S_ASV_11	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_12	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Paramaledivibacter	NA
16S_ASV_13	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella	NA
16S_ASV_14	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Paramaledivibacter	NA
16S_ASV_15	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA	NA
16S_ASV_16	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
16S_ASV_17	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
16S_ASV_18	Bacteria	Proteobacteria	Alphaproteobacteria	Dstr-E11	NA	NA	NA
16S_ASV_19	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	NA
16S_ASV_20	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	NA	NA
16S_ASV_21	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	NA
16S_ASV_22	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_23	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_24	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
16S_ASV_25	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
16S_ASV_26	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	NA	NA
16S_ASV_27	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris	NA
16S_ASV_28	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	NA	NA
16S_ASV_29	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_30	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfospira	NA
16S_ASV_31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicella	NA
16S_ASV_32	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
16S_ASV_33	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	NA	NA	NA
16S_ASV_34	Bacteria	NA	NA	NA	NA	NA	NA
16S_ASV_35	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	NA	NA	NA
16S_ASV_36	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Endozoicomonas	NA
16S_ASV_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	NA
16S_ASV_38	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	NA	NA	NA
16S_ASV_39	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
16S_ASV_40	Bacteria	Cyanobacteria	Cyanobacteriia	Thermosynechococcales	NA	NA	NA
16S_ASV_41	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	NA
16S_ASV_42	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_43	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	NA	NA	NA
16S_ASV_44	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	NA	NA	NA	NA
16S_ASV_45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Phyllobacterium	NA
16S_ASV_46	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
16S_ASV_47	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA	NA
16S_ASV_48	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23	NA	NA	NA
16S_ASV_49	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
16S_ASV_50	Bacteria	PAUC34f	NA	NA	NA	NA	NA
16S_ASV_51	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	NA	NA	NA
16S_ASV_52	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	NA	NA	NA
16S_ASV_53	Bacteria	Poribacteria	NA	NA	NA	NA	NA
16S_ASV_54	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	NA	NA	NA
16S_ASV_55	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Pelagibius	NA
16S_ASV_56	Bacteria	Chloroflexi	TK17	NA	NA	NA	NA
16S_ASV_57	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Fodinicurvataceae	Fodinicurvata	NA
