	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
18S_ASV_1	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_2	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Janulum	Janulum_spinispiculum
18S_ASV_3	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_4	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Cladophorales	Cladophorales_X	Cladophora	NA
18S_ASV_5	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
18S_ASV_6	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_7	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_8	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Montastraea	Montastraea_annularis
18S_ASV_9	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
18S_ASV_10	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_11	Eukaryota	Obazoa	Opisthokonta	Metazoa	Porifera	Porifera_X	Demospongiae	Diplastrella	Diplastrella_megastellata
18S_ASV_12	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_13	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_14	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_15	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
18S_ASV_16	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
