ID	symbol
symbB.v1.2.000014	rnhA
symbB.v1.2.000015	pgsA
symbB.v1.2.000034	dnaK
symbB.v1.2.000034	dnaK
symbB.v1.2.000064	prfA
symbB.v1.2.000093	bglA
symbB.v1.2.000101	TXLNB
symbB.v1.2.000102	TRIM28
symbB.v1.2.000104	TM7SF2
symbB.v1.2.000104	ERG24
symbB.v1.2.000108	dpaL
symbB.v1.2.000108	dpaL
symbB.v1.2.000109	GYG1
symbB.v1.2.000123	ANKRD13C
symbB.v1.2.000146	nrdA
symbB.v1.2.000146	nrdA
symbB.v1.2.000146	nrdA
symbB.v1.2.000146	nrdA
symbB.v1.2.000146	nrdA
symbB.v1.2.000159	nrdA
symbB.v1.2.000160	nrdA
symbB.v1.2.000165	hrpA
symbB.v1.2.000165	DHX29
symbB.v1.2.000175	hupA
symbB.v1.2.000176	hupA
symbB.v1.2.000178	RNFT2
symbB.v1.2.000178	RNFT2
symbB.v1.2.000180	RNR1
symbB.v1.2.000180	RNR1
symbB.v1.2.000180	nrdA
symbB.v1.2.000186	bop
symbB.v1.2.000197	cefD
symbB.v1.2.000197	LOLT
symbB.v1.2.000209	gpmA
symbB.v1.2.000234	DNMT3A
symbB.v1.2.000238	MAT2A
symbB.v1.2.000245	PMR1
symbB.v1.2.000246	TBCD
symbB.v1.2.000246	TBCD
symbB.v1.2.000246	TBCD
symbB.v1.2.000251	atpE
symbB.v1.2.000253	PPT1
symbB.v1.2.000257	USP19
symbB.v1.2.000257	USP16
symbB.v1.2.000300	OTUD3
symbB.v1.2.000304	SEC14L2
symbB.v1.2.000313	DNMT3A
symbB.v1.2.000316	VPS34
symbB.v1.2.000318	estB
symbB.v1.2.000318	estB
symbB.v1.2.000331	GTPBP1
symbB.v1.2.000345	coaE
symbB.v1.2.000348	metH
symbB.v1.2.000348	metH
symbB.v1.2.000352	EXOC1
symbB.v1.2.000358	SLC7A1
symbB.v1.2.000358	SLC7A1
symbB.v1.2.000409	SSL2
symbB.v1.2.000409	ERCC3
symbB.v1.2.000416	LHCA5
symbB.v1.2.000417	LHCA5
symbB.v1.2.000473	FBA1
symbB.v1.2.000473	FBA1
symbB.v1.2.000478	add1
symbB.v1.2.000491	CCT8
symbB.v1.2.000501	RPLP1
symbB.v1.2.000511	LARP1B
symbB.v1.2.000517	PKD1L1
symbB.v1.2.000518	RNF213
symbB.v1.2.000518	RNF213
symbB.v1.2.000518	RNF213
symbB.v1.2.000521	ATP13A1
symbB.v1.2.000521	SPF1
symbB.v1.2.000522	NHLRC2
symbB.v1.2.000566	TRAIP
symbB.v1.2.000567	PFAS
symbB.v1.2.000599	PRKD1
symbB.v1.2.000618	FBXO15
symbB.v1.2.000623	TOP3B
symbB.v1.2.000633	Z012_06155
symbB.v1.2.000637	KIFC1
symbB.v1.2.000704	rluC
symbB.v1.2.000704	rluC
symbB.v1.2.000704	rluC
symbB.v1.2.000731	trpB
symbB.v1.2.000744	PTC2
symbB.v1.2.000752	MTHFD1L
symbB.v1.2.000752	folD
symbB.v1.2.000753	ispH
symbB.v1.2.000759	dcm
symbB.v1.2.000767	TRAF3IP1
symbB.v1.2.000772	AKT1
symbB.v1.2.000784	TEF3
symbB.v1.2.000787	ZCCHC9
symbB.v1.2.000817	PKG
symbB.v1.2.000843	hemG
symbB.v1.2.000858	clpC
symbB.v1.2.000860	PPT1
symbB.v1.2.000865	NCBP1
symbB.v1.2.000868	NFKBIA
symbB.v1.2.000869	AKT1
symbB.v1.2.000894	ASB9
symbB.v1.2.000899	FAM173B
symbB.v1.2.000901	GLNA
symbB.v1.2.000908	RPUSD1
symbB.v1.2.000912	EFTUD2
symbB.v1.2.000941	katG
symbB.v1.2.000941	katG
symbB.v1.2.000962	DDX60
symbB.v1.2.000962	yrrB
symbB.v1.2.000962	DDX60
symbB.v1.2.000962	yrrB
symbB.v1.2.000984	CHL1
symbB.v1.2.000987	BRIP1
symbB.v1.2.000994	petG
symbB.v1.2.001005	CDPK9
symbB.v1.2.001009	rluA
symbB.v1.2.001009	rluA
symbB.v1.2.001035	katG
symbB.v1.2.001043	PLK1
symbB.v1.2.001050	ALKBH8
symbB.v1.2.001054	MBTPS2
symbB.v1.2.001057	NRP1
symbB.v1.2.001077	dnaJ
symbB.v1.2.001077	dnaJ
symbB.v1.2.001078	PKAR
symbB.v1.2.001081	DHX38
symbB.v1.2.001083	RPL34
symbB.v1.2.001085	AAR2
symbB.v1.2.001090	gmd
symbB.v1.2.001090	gmd
symbB.v1.2.001103	rluD
symbB.v1.2.001109	carB
symbB.v1.2.001109	CAD
symbB.v1.2.001109	carB
symbB.v1.2.001206	TUBB
symbB.v1.2.001213	PRP40
symbB.v1.2.001215	engB
symbB.v1.2.001228	AKT1
symbB.v1.2.001244	atzF
symbB.v1.2.001266	HERC4
symbB.v1.2.001266	HERC5
symbB.v1.2.001288	phbA
symbB.v1.2.001292	rkpA
symbB.v1.2.001320	cct1
symbB.v1.2.001320	cct1
symbB.v1.2.001320	cct-1
symbB.v1.2.001320	cct1
symbB.v1.2.001320	cct1
symbB.v1.2.001320	cct-1
symbB.v1.2.001366	dcm
symbB.v1.2.001370	ANKS6
symbB.v1.2.001412	GLC3
symbB.v1.2.001435	PLS1
symbB.v1.2.001441	DHX9
symbB.v1.2.001451	PRKCD
symbB.v1.2.001475	TULP2
symbB.v1.2.001486	hppA
symbB.v1.2.001510	rnhA
symbB.v1.2.001531	nlaXM
symbB.v1.2.001535	THR4
symbB.v1.2.001539	thrC
symbB.v1.2.001546	uup
symbB.v1.2.001546	uup
symbB.v1.2.001546	uup
symbB.v1.2.001546	uup
symbB.v1.2.001546	uup
symbB.v1.2.001591	TRM5
symbB.v1.2.001591	TRMT5
symbB.v1.2.001591	TRM5
symbB.v1.2.001591	TRMT5
symbB.v1.2.001591	TRM5
symbB.v1.2.001591	TRMT5
symbB.v1.2.001593	RRP12
symbB.v1.2.001616	sdr2
symbB.v1.2.001653	TUBA8
symbB.v1.2.001653	TUBA3D
symbB.v1.2.001666	GLC7
symbB.v1.2.001668	CEP76
symbB.v1.2.001686	hhaIM
symbB.v1.2.001704	FOXRED1
symbB.v1.2.001704	FOXRED1
symbB.v1.2.001721	SLC35G1
symbB.v1.2.001730	DNAJC7
symbB.v1.2.001730	DNAJC7
symbB.v1.2.001733	DNAJC7
symbB.v1.2.001735	DNAJC7
symbB.v1.2.001736	DNAJA1
symbB.v1.2.001753	AKR1
symbB.v1.2.001753	AKR1
symbB.v1.2.001753	AKR1
symbB.v1.2.001753	DNAH1
symbB.v1.2.001753	AKR1
symbB.v1.2.001753	AKR1
symbB.v1.2.001753	AKR1
symbB.v1.2.001753	DNAH1
symbB.v1.2.001761	ALG11
symbB.v1.2.001805	RPS3
symbB.v1.2.001809	PCIF1
symbB.v1.2.001811	noeI
symbB.v1.2.001818	PGK2
symbB.v1.2.001832	DNMT3A
symbB.v1.2.001849	TRPA1
symbB.v1.2.001856	PPP6C
symbB.v1.2.001856	KCNIP1
symbB.v1.2.001859	CAPN15
symbB.v1.2.001862	DNAH3
symbB.v1.2.001878	NIT3
symbB.v1.2.001878	NIT3
symbB.v1.2.001880	SKIV2L2
symbB.v1.2.001880	MTR4
symbB.v1.2.001880	MTR4
symbB.v1.2.001880	SKIV2L2
symbB.v1.2.001887	DNMT3A
symbB.v1.2.001887	DNMT3A
symbB.v1.2.001904	PGK1
symbB.v1.2.001904	PGK1
symbB.v1.2.001920	VPS16
symbB.v1.2.001930	DLEC1
symbB.v1.2.001977	NMT1
symbB.v1.2.001978	HERC4
symbB.v1.2.001979	NMT1
symbB.v1.2.001979	NMT1
symbB.v1.2.001984	aqpZ
symbB.v1.2.001993	mxcH
symbB.v1.2.002019	DBP3
symbB.v1.2.002019	DDX25
symbB.v1.2.002026	Z012_06155
symbB.v1.2.002029	hpaIIM
symbB.v1.2.002037	PLSCR3
symbB.v1.2.002043	SAMHD1
symbB.v1.2.002047	UROD3
symbB.v1.2.002047	HEME3
symbB.v1.2.002047	UROD3
symbB.v1.2.002047	HEME3
symbB.v1.2.002058	DNMT3B
symbB.v1.2.002066	pntA
symbB.v1.2.002080	GPH1
symbB.v1.2.002081	GPH1
symbB.v1.2.002136	CHC1
symbB.v1.2.002184	EXOC1
symbB.v1.2.002208	lon2
symbB.v1.2.002208	lon-3
symbB.v1.2.002209	RpS4
symbB.v1.2.002222	ANKEF1
symbB.v1.2.002249	MAN1A2
symbB.v1.2.002268	ZCCHC9
symbB.v1.2.002319	SPON2
symbB.v1.2.002328	OSM2
symbB.v1.2.002331	STE23
symbB.v1.2.002338	IMPDH2
symbB.v1.2.002338	guaB
symbB.v1.2.002338	IMPDH2
symbB.v1.2.002362	RPP2B
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002376	ADE2
symbB.v1.2.002379	PHO1
symbB.v1.2.002379	PHO1
symbB.v1.2.002379	GPH1
symbB.v1.2.002379	GPH1
symbB.v1.2.002379	PHO1
symbB.v1.2.002379	GPH1
symbB.v1.2.002379	GPH1
symbB.v1.2.002379	GPH1
symbB.v1.2.002379	GPH1
symbB.v1.2.002396	INP51
symbB.v1.2.002401	TRAF3IP1
symbB.v1.2.002407	ADCK1
symbB.v1.2.002407	ADCK1
symbB.v1.2.002415	CRK2
symbB.v1.2.002430	GDH2
symbB.v1.2.002430	GDH2
symbB.v1.2.002431	GDH2
symbB.v1.2.002438	PCYT2
symbB.v1.2.002458	bamB
symbB.v1.2.002459	ZCCHC11
symbB.v1.2.002468	rluA
symbB.v1.2.002473	speE
symbB.v1.2.002473	speE
symbB.v1.2.002473	speE
symbB.v1.2.002473	speE
symbB.v1.2.002487	KLHL12
symbB.v1.2.002529	aspA
symbB.v1.2.002529	aspA
symbB.v1.2.002560	MCM2
symbB.v1.2.002572	PSMD8
symbB.v1.2.002584	Lhcr9
symbB.v1.2.002585	Lhcr9
symbB.v1.2.002586	ureD
symbB.v1.2.002625	FAD1
symbB.v1.2.002638	alkJ2
symbB.v1.2.002651	mqo
symbB.v1.2.002651	mqo
symbB.v1.2.002712	yjiA_2
symbB.v1.2.002719	NSUN2
symbB.v1.2.002732	TMTC4
symbB.v1.2.002737	yfmJ
symbB.v1.2.002740	OSM2
symbB.v1.2.002744	SKIV2L
symbB.v1.2.002744	SKI2
symbB.v1.2.002757	SSH3
symbB.v1.2.002773	GALNT7
symbB.v1.2.002775	ABCB1
symbB.v1.2.002775	ABCB11
symbB.v1.2.002789	TTLL8
symbB.v1.2.002794	dcm
symbB.v1.2.002796	KLHDC2
symbB.v1.2.002798	panB
symbB.v1.2.002858	rluD
symbB.v1.2.002866	NT5M
symbB.v1.2.002866	NT5M
symbB.v1.2.002868	RRI1
symbB.v1.2.002868	COPS5
symbB.v1.2.002868	RRI1
symbB.v1.2.002872	DNAH7
symbB.v1.2.002881	AP1B1
symbB.v1.2.002901	TMEM184B
symbB.v1.2.002911	DIRC2
symbB.v1.2.002913	hoxN
symbB.v1.2.002916	PGI
symbB.v1.2.002916	PGI
symbB.v1.2.002934	ALDOC
symbB.v1.2.002953	treZ
symbB.v1.2.002962	PRKAR1A
symbB.v1.2.003006	Ifggb1
symbB.v1.2.003006	Ifggb1
symbB.v1.2.003068	dcm
symbB.v1.2.003068	dcm
symbB.v1.2.003111	ERCC2
symbB.v1.2.003111	RAD3
symbB.v1.2.003126	FAA2
symbB.v1.2.003145	NYNRIN
symbB.v1.2.003156	YUC6
symbB.v1.2.003201	pfk
symbB.v1.2.003206	CDKN2C
symbB.v1.2.003206	CDKN2C
symbB.v1.2.003227	valS
symbB.v1.2.003227	VARS
symbB.v1.2.003253	FPR3
symbB.v1.2.003261	KIAA1324L
symbB.v1.2.003291	AKR1
symbB.v1.2.003291	ABCB10
symbB.v1.2.003293	HRT2
symbB.v1.2.003309	ycbX
symbB.v1.2.003316	BPH1
symbB.v1.2.003329	yfmL
symbB.v1.2.003330	CCP2
symbB.v1.2.003333	RQCD1
symbB.v1.2.003336	STE11
symbB.v1.2.003344	ugd
symbB.v1.2.003346	POL30
symbB.v1.2.003361	LRRC27
symbB.v1.2.003384	PST2
symbB.v1.2.003397	MYO1D
symbB.v1.2.003426	MAP3K15
symbB.v1.2.003432	DIS3
symbB.v1.2.003463	hhaIM
symbB.v1.2.003474	WDSUB1
symbB.v1.2.003481	ddeI
symbB.v1.2.003516	DNAH12
symbB.v1.2.003518	DNAH3
symbB.v1.2.003524	DNAH3
symbB.v1.2.003559	PDZPH1P
symbB.v1.2.003560	DPH2
symbB.v1.2.003560	DPH2
symbB.v1.2.003561	SET5
symbB.v1.2.003570	dnaJ
symbB.v1.2.003583	rsmB
symbB.v1.2.003585	GIMAP8
symbB.v1.2.003593	DPM1
symbB.v1.2.003597	dnaJ
symbB.v1.2.003606	KIF4A
symbB.v1.2.003606	NCL1
symbB.v1.2.003611	CCT5
symbB.v1.2.003654	DNMT3A
symbB.v1.2.003656	yahK
symbB.v1.2.003668	prx5
symbB.v1.2.003672	TTC19
symbB.v1.2.003728	KLHL23
symbB.v1.2.003745	DRS2
symbB.v1.2.003763	RPL31
symbB.v1.2.003776	atpE
symbB.v1.2.003776	atpE
symbB.v1.2.003776	atpE
symbB.v1.2.003776	rps2
symbB.v1.2.003776	atpE
symbB.v1.2.003777	atpE
symbB.v1.2.003779	ACTB
symbB.v1.2.003791	thrA
symbB.v1.2.003813	psuG
symbB.v1.2.003820	THI1
symbB.v1.2.003833	HSPB11
symbB.v1.2.003838	TRIM67
symbB.v1.2.003838	UFD4
symbB.v1.2.003838	HECTD1
symbB.v1.2.003844	RCBTB1
symbB.v1.2.003852	CNTN5
symbB.v1.2.003852	TUBA3E
symbB.v1.2.003856	PNN
symbB.v1.2.003881	CALR
symbB.v1.2.003881	CALR
symbB.v1.2.003881	CALR
symbB.v1.2.003903	APOA1BP
symbB.v1.2.003912	Ggh
symbB.v1.2.003924	asnB
symbB.v1.2.003926	GALNT7
symbB.v1.2.003926	GALNT7
symbB.v1.2.003932	ADCY10
symbB.v1.2.003934	pknB
symbB.v1.2.003934	pknL
symbB.v1.2.003941	PPT1
symbB.v1.2.003941	PPT1
symbB.v1.2.003955	pepN
symbB.v1.2.003956	METTL9
symbB.v1.2.003956	METTL9
symbB.v1.2.003956	METTL9
symbB.v1.2.003956	METTL9
symbB.v1.2.003972	PLSCR3
symbB.v1.2.003977	TTC30B
symbB.v1.2.003977	TTC30B
symbB.v1.2.003988	RPL22
symbB.v1.2.004016	gpmA
symbB.v1.2.004027	ARL3
symbB.v1.2.004028	ATPC
symbB.v1.2.004031	atpG
symbB.v1.2.004031	ATPC
symbB.v1.2.004031	atpG
symbB.v1.2.004031	ATPC
symbB.v1.2.004031	HERC2
symbB.v1.2.004031	HERC2
symbB.v1.2.004035	SASS6
symbB.v1.2.004047	nadD
symbB.v1.2.004048	cbpA
symbB.v1.2.004048	cbpA
symbB.v1.2.004048	cbpA
symbB.v1.2.004049	draG
symbB.v1.2.004061	ATS1
symbB.v1.2.004086	BSL1
symbB.v1.2.004101	noeI
symbB.v1.2.004101	noeI
symbB.v1.2.004101	noeI
symbB.v1.2.004124	DDX3X
symbB.v1.2.004158	ddeI
symbB.v1.2.004174	ANKRD17
symbB.v1.2.004184	PSMD10
symbB.v1.2.004193	CTSB
symbB.v1.2.004199	DBP10
symbB.v1.2.004199	DDX54
symbB.v1.2.004199	DBP10
symbB.v1.2.004199	DDX54
symbB.v1.2.004250	CYB5R4
symbB.v1.2.004250	SLC25A1
symbB.v1.2.004250	SLC25A1
symbB.v1.2.004252	SSE1
symbB.v1.2.004281	SACS
symbB.v1.2.004284	SACS
symbB.v1.2.004293	SMC1B
symbB.v1.2.004337	MSS116
symbB.v1.2.004343	TARSL2
symbB.v1.2.004371	rio1
symbB.v1.2.004388	PHO81
symbB.v1.2.004413	ADK
symbB.v1.2.004468	TTLL5
symbB.v1.2.004469	yvgN
symbB.v1.2.004469	yvgN
symbB.v1.2.004471	CWC27
