ID	symbol
QW917-000008	EMX1
QW917-000010	NCAM2
QW917-000012	HOXA7
QW917-000015	MXI1
QW917-000016	SFXN5
QW917-000018	NSD1
QW917-000019	BNIP1
QW917-000021	TAF5L
QW917-000022	SUR1
QW917-000034	MC3R
QW917-000038	HCRTR2
QW917-000039	TACR2
QW917-000044	dop-1
QW917-000045	ADRB2
QW917-000047	MYL9
QW917-000048	DLGAP4
QW917-000049	MED28
QW917-000051	PRSS8
QW917-000052	HSPA9
QW917-000053	TXNDC12
QW917-000054	ABHD14A
QW917-000055	SOX21
QW917-000057	DHX15
QW917-000057	DHX15
QW917-000057	DHX15
QW917-000062	BIN3
QW917-000063	TOPAZ1
QW917-000076	IPGM1
QW917-000080	ASIC3
QW917-000082	PI4K2B
QW917-000096	ypt1
QW917-000097	TCERG1
QW917-000101	nas-15
QW917-000101	nas-15
QW917-000102	ANKRD55
QW917-000102	ANKRD55
QW917-000104	NOXO1
QW917-000105	NOXO1
QW917-000106	GLRX3
QW917-000107	PUF60
QW917-000111	SH3PXD2A
QW917-000113	SH3PXD2A
QW917-000113	SH3PXD2A
QW917-000114	NOXO1
QW917-000124	TMEM53
QW917-000125	RAB28
QW917-000126	BOD1
QW917-000130	FANK1
QW917-000131	WDR11
QW917-000132	trp-1
QW917-000134	ABCC4
QW917-000136	TRAF1
QW917-000138	PLA2G4A
QW917-000138	PLA2G4A
QW917-000139	MDM4
QW917-000142	ABCC4
QW917-000143	DUSP11
QW917-000144	ROMO1
QW917-000150	DCLRE1A
QW917-000152	FAM53A
QW917-000154	FUT4
QW917-000156	FUT4
QW917-000157	FUT4
QW917-000158	FUT3
QW917-000159	FUT4
QW917-000160	FUT4
QW917-000161	ATP5I
QW917-000162	YKT6
QW917-000165	CHST3
QW917-000166	INPP5A
QW917-000166	INPP5A
QW917-000167	MFSD10
QW917-000168	DHRS7
QW917-000169	DHRS7
QW917-000170	DHRS7
QW917-000172	AGPAT6
QW917-000174	FANK1
QW917-000185	cct7
QW917-000186	ENTPD7
QW917-034701	CDC23
QW917-000195	WDR34
QW917-000196	WDR34
QW917-000201	ZSCAN5B
QW917-000201	CDC25A
QW917-000201	CDC25A
QW917-000205	NPFFR2
QW917-000207	SSTR3
QW917-000210	PUS1
QW917-000211	PUS1
QW917-000212	COX15
QW917-000220	MEP1B
QW917-000222	SMYD5
QW917-000223	SMYD5
QW917-000225	ETF1
QW917-000245	ZDHHC16
QW917-000246	SCPEP1
QW917-000248	SCPEP1
QW917-000249	DDR2
QW917-000250	SOX30
QW917-000254	ELP2
QW917-034704	SSTR5
QW917-000258	MSRB1
QW917-000275	HIGD2A
QW917-000292	TIMM21
QW917-000293	HRH2
QW917-000294	MATN2
QW917-000297	DHRS7
QW917-000299	DHRS7
QW917-000300	ADRB2
QW917-000303	CHST8
QW917-000306	HMX3
QW917-000307	NKX1-1
QW917-000309	TMTC1
QW917-000310	TMTC1
QW917-000312	LRP2BP
QW917-000317	svep1
QW917-000320	DBX2
QW917-000321	GLIPR2
QW917-000322	GSG2
QW917-000323	GSG2
QW917-000324	GSG2
QW917-000325	CFAP99
QW917-000325	GLIPR2
QW917-000326	glipr2
QW917-000328	CHST8
QW917-000336	RNPC3
QW917-000337	TAPT1
QW917-000338	ALMS1
QW917-000339	ALMS1
QW917-000340	TMED4
QW917-000342	CACUL1
QW917-000344	RPL26
QW917-000345	SORCS1
QW917-000351	TNFSF14
QW917-000355	ABLIM3
QW917-000364	MOXD1
QW917-000366	SMC3
QW917-000367	SMC3
QW917-000368	SMC3
QW917-000373	TMPRSS6
QW917-000376	ARF4
QW917-000386	ASIC5
QW917-000387	ASIC3
QW917-000388	prokr1
QW917-000389	NKX6-1
QW917-000391	EVC2
QW917-034710	TOM70
QW917-034711	TOM70
QW917-000399	NPFFR2
QW917-000407	CNPY4
QW917-000409	CNPY3
QW917-000411	PIM2
QW917-000413	PIM2
QW917-000414	LDB2
QW917-000415	LDB2
QW917-000416	LDB2
QW917-000417	WDR54
QW917-034717	SUPV3L1
QW917-000418	PIM2
QW917-000419	HSL1
QW917-000420	PIM2
QW917-034718	HSL1
QW917-000423	PIM2
QW917-000425	TAF1B
QW917-034719	FADS6
QW917-000429	FADS6
QW917-000431	SLU7
QW917-000432	LMAN2
QW917-000433	CTNNA1
QW917-000435	CNNM2
QW917-000446	KCTD9
QW917-000447	XPNPEP1
QW917-000450	ALOXE3
QW917-034720	npm1
QW917-000453	pats1
QW917-000462	INPP5F
QW917-000463	TAAR4
QW917-000469	TMC7
QW917-000471	frpr-13
QW917-000477	frpr-13
QW917-000478	frpr-13
QW917-000479	HCRTR1
QW917-000481	AP5B1
QW917-000482	AP5B1
QW917-000506	pats1
QW917-000514	LYS1
QW917-000515	LYS1
QW917-000516	LYS1
QW917-000524	EIF3A
QW917-000531	CHMP4B
QW917-000532	CHMP4B
QW917-000536	MRF1
QW917-000537	PPRC1
QW917-000541	EXOC4
QW917-000542	HIS5
QW917-000557	PPT2
QW917-000558	EXOSC1
QW917-000563	HOXA5
QW917-000565	TIMP1
QW917-000571	CFAP43
QW917-000572	PDCD4
QW917-000575	TTC14
QW917-034726	EIF2AK3
QW917-034727	FAHD1
QW917-000583	FAHD1
QW917-000588	SIMC1
QW917-000591	SFXN1
QW917-000597	DAPP1
QW917-000598	DAPP1
QW917-000599	KLHDC1
QW917-000600	KLHDC1
QW917-000601	KIF11
QW917-000602	KIF11
QW917-000612	PLA2R1
QW917-000620	SH3BP2
QW917-000621	ooc-3
QW917-000622	GABBR2
QW917-000627	CEP83
QW917-000629	LETM1
QW917-000637	CHMP7
QW917-000651	CLINT1
QW917-000667	FIGNL1
QW917-000675	MKI67
QW917-000693	MRPS26
QW917-000695	ZCCHC4
QW917-000710	TRMT1
QW917-000711	CPEB2
QW917-000714	SH3PXD2B
QW917-000717	DUSP1
QW917-000718	ERGIC1
QW917-000732	ENDOD1
QW917-000744	LRRC3
QW917-000747	PCGF6
QW917-000753	LAP3
QW917-000754	WFS1
QW917-000755	GOLGA7
QW917-000756	PPP2R2A
QW917-000758	PPP2R2A
QW917-000762	PKHD1L1
QW917-000764	STARD7
QW917-000765	NPY7R
QW917-034746	MFSD12
QW917-034746	ANKK1
QW917-000767	ASB11
QW917-000769	EDIL3
QW917-000771	CD59
QW917-000773	GOT1
QW917-000774	Vps24
QW917-000774	HECTD2
QW917-000788	PLCG2
QW917-000790	PLCG2
QW917-000792	DDRGK1
QW917-034747	RNF24
QW917-000797	TTI1
QW917-000801	METTL21A
QW917-000802	RAB24
QW917-000803	FBXW4
QW917-000816	NDUFAF2
QW917-000817	ANKRD53
QW917-000818	ANKRD53
QW917-000821	PAIP2
QW917-034749	GPR26
QW917-000832	JAKMIP3
QW917-000834	JAKMIP3
QW917-000836	JAKMIP3
QW917-000837	BNIP3
QW917-000838	SFXN2
QW917-000840	PAN2
QW917-000841	PAN2
QW917-000842	PAN2
QW917-000843	PRADC1
QW917-000844	KCMF1
QW917-000845	KCMF1
QW917-000851	LBX1
QW917-000853	BTBD16
QW917-000854	BTBD16
QW917-000856	NKX2-5
QW917-000858	MSX2
QW917-000860	SERAC1
QW917-000861	CPPED1
QW917-000870	ZNFX1
QW917-000871	ZNFX1
QW917-000874	DHX34
QW917-000876	ADRB3
QW917-000877	LOXL4
QW917-000878	DMBT1
QW917-000879	LOXL4
QW917-000880	LOXL4
QW917-000881	BBOX1
QW917-000887	BBOX1
QW917-000889	BBOX1
QW917-000890	BBOX1
QW917-000892	PPP1R3B
QW917-000893	GINS4
QW917-000898	NT5DC1
QW917-000900	KANSL3
QW917-000903	Mmp1
QW917-000904	TTC33
QW917-000906	PSMD4
QW917-000908	TEX36
QW917-000910	ZNFX1
QW917-034756	ZNFX1
QW917-000914	ZNFX1
QW917-000915	ZNFX1
QW917-000916	ZNFX1
QW917-000919	ZNFX1
QW917-000921	ZNFX1
QW917-000922	ZNFX1
QW917-000923	ZNFX1
QW917-000924	ZNFX1
QW917-000925	ZNFX1
QW917-000926	ZNFX1
QW917-000927	lap-2
QW917-000935	ABCD2
QW917-000938	SEC23IP
QW917-000940	ADAMTSL1
QW917-000941	NOA1
QW917-000944	HOGA1
QW917-000946	CSNK1A1
QW917-000947	NMNAT1
QW917-000948	SNX10
QW917-000950	NOP14
QW917-000951	STK32C
QW917-000954	KNDC1
QW917-000955	KNDC1
QW917-000956	KNDC1
QW917-000964	TRPV6
QW917-000965	PIM1
QW917-000976	FBN3
QW917-000977	DLL4
QW917-000978	FGFR3
QW917-000986	NHP2
QW917-000987	DOCK2
QW917-000993	HRH2
QW917-000995	add-1
QW917-000996	AUP1
QW917-001000	MFSD7
QW917-001001	SUPT7L
QW917-001002	NOP56
QW917-001003	NOP56
QW917-001004	FAHD2A
QW917-001005	lap-2
QW917-001008	UBTD2
QW917-034758	ATOH8
QW917-034759	ADRA2B
QW917-001012	RCCD1
QW917-001016	FGFR4
QW917-001017	FGFR4
QW917-001019	FGFRL1
QW917-001022	FGFRL1
QW917-001023	FGFR4
QW917-001026	CELA3A
QW917-001027	LRRC27
QW917-001040	DCAF17
QW917-001041	R3HCC1L
QW917-001042	nfya-1
QW917-001045	PBDC1
QW917-001050	HCRTR1
QW917-001058	ERI1
QW917-001059	ERI2
QW917-001061	ERI1
QW917-001065	D2HGDH
QW917-001066	HEATR4
QW917-001067	HEATR4
QW917-001076	ARL3
QW917-001077	IDH3B
QW917-001078	IDH3B
QW917-001079	MLH1
QW917-001081	MMS19
QW917-001082	TIAL1
QW917-001089	PWWP2A
QW917-001089	TUBD1
QW917-001090	ZRANB1
QW917-001091	WDR6
QW917-001092	RDH5
QW917-034765	RDH5
QW917-001093	RDH5
QW917-001095	RDH5
QW917-001096	dhrs9
QW917-001096	dhrs9
QW917-001097	RDH5
QW917-001099	GRK5
QW917-001109	CCR6
QW917-001111	CCR6
QW917-001113	CCR6
QW917-001116	CCR6
QW917-001117	GPR83
QW917-001121	tkr-3
QW917-001123	GPR83
QW917-001129	B3GAT1
QW917-001131	UBLCP1
QW917-001132	MGAT2
QW917-001135	RRP12
QW917-001136	RRP12
QW917-001137	RRP12
QW917-001153	NHLRC2
QW917-001154	NHLRC2
QW917-034767	CCR6
QW917-001159	glipr2
QW917-001160	glipr2
QW917-001161	glipr2
QW917-001168	HEPHL1
QW917-001169	CHST11
QW917-001170	GALR3
QW917-001171	FEM1B
QW917-001182	TRIT1
QW917-001186	STX18
QW917-001187	TM2D2
QW917-001203	PEBP4
QW917-001204	PEBP4
QW917-001205	EGR3
QW917-001208	MED24
QW917-001209	MED24
QW917-001210	MED24
QW917-001212	FGFR4
QW917-001214	SUCLG1
QW917-001217	DCTN1
QW917-001224	FGFR4
QW917-001225	FGFR4
QW917-001226	FGFR4
QW917-001227	FGFR4
QW917-001228	CNTN3
QW917-034772	ADPRHL2
QW917-001229	SPRY2
QW917-001229	FGF18
QW917-034773	FGF18
QW917-001230	FGF18
QW917-001231	FGF18
QW917-001233	SPRY2
QW917-001235	FGFR4
QW917-001236	FGFR4
QW917-001237	TTC1
QW917-001242	FGF18
QW917-001245	DYNLRB2
QW917-001246	DYNLRB2
QW917-001247	WDR91
QW917-001248	PEBP1
QW917-001257	NOC3L
QW917-001260	NOC3L
QW917-001261	NOC3L
QW917-001265	NFKB1
QW917-001271	FUT7
QW917-001272	FBXO41
QW917-001276	DRG2
QW917-001278	NSMCE4A
QW917-001279	NSMCE4A
QW917-001282	B4GALT7
QW917-001300	TMPRSS9
QW917-001304	OVCH2
QW917-001305	ST14
QW917-001317	PTCD3
QW917-001318	PTCD3
QW917-001320	ACTR1A
QW917-001321	PPAPDC1B
QW917-001324	Hsp68
QW917-001325	MGEA5
QW917-001326	MGEA5
QW917-001329	SPATA24
QW917-001331	RNF4
QW917-001332	ARID5B
QW917-001333	CFAP46
QW917-001339	MRPS18C
QW917-001340	MRPS18C
QW917-001341	ES1
QW917-001342	FUCA1
QW917-001343	FUCA1
QW917-001345	FUCA1
QW917-001346	FUCA1
QW917-001347	FUCA1
QW917-001348	FUCA1
QW917-001349	DDX56
QW917-001353	FBXO22
QW917-001354	UBOX5
QW917-001357	NRBF2
QW917-001359	POLR2B
QW917-001379	VHA55
QW917-001380	EMX2
QW917-001383	CDADC1
QW917-001383	DBF4B
QW917-001384	AS3MT
QW917-001385	AS3MT
QW917-001386	ATRNL1
QW917-001391	EBF2
QW917-001392	SRP72
QW917-001394	XPO7
QW917-001395	XPO7
QW917-001399	HTRA3
QW917-001401	RMND5A
QW917-001403	RTFDC1
QW917-001405	LRRK2
QW917-001406	LRRK2
QW917-001407	PCGF1
QW917-001408	PCGF3
QW917-001409	PCGF5
QW917-001410	PCGF5
QW917-001414	PCGF5
QW917-001416	PCGF5
QW917-001418	HPS1
QW917-001420	RHOBTB1
QW917-001421	ADAM28
QW917-001423	KDM3B
QW917-034779	SIL1
QW917-001425	REEP1
QW917-001433	adt-1
QW917-001440	ENTPD1
QW917-001443	FUCA1
QW917-001444	FUCA1
QW917-001446	EXOC6B
QW917-001447	COX17
QW917-001452	HAO1
QW917-001453	HAO1
QW917-001455	TERF2
QW917-001456	PNRC2
QW917-001460	SRSF12
QW917-001462	BRD8
QW917-001463	BRD8
QW917-001471	SFI1
QW917-001482	ADORA2B
QW917-001490	ANKHD1
QW917-001491	ANKHD1
QW917-001492	ANKHD1
QW917-001498	MAPK8IP1
QW917-001502	NIPSNAP3A
QW917-001503	RPL36A
QW917-001505	APITD1
QW917-001506	DNAH1
QW917-001507	DNAH1
QW917-001509	NDUFB8
QW917-001512	OPRD1
QW917-001517	PRPF40A
QW917-001518	PRPF40A
QW917-001519	DENND5A
QW917-001533	TIMM21
QW917-001534	CREB3L1
QW917-001542	CPT1A
QW917-034784	CNOT2
QW917-001543	STK33
QW917-001545	TMEM9B
QW917-001546	ASCL5
QW917-001549	MRPL23
QW917-001551	ASCL5
QW917-001552	ASCL1
QW917-001553	NUP37
QW917-001555	GMCL1
QW917-001557	ACAD8
QW917-001558	WEE1
QW917-001559	WEE1
QW917-001560	RRAS2
QW917-001561	FAM60A
QW917-001567	ucp1
QW917-034786	TALDO1
QW917-001576	RAB3IL1
QW917-001579	DEAF1
QW917-001581	LPHN1
QW917-001582	TACR2
QW917-001583	TACR2
QW917-001589	ARAP1
QW917-001590	npr-9
QW917-001591	FRRS1
QW917-001593	FRRS1
QW917-001594	FRRS1
QW917-001595	OPRK1
QW917-001596	TACR2
QW917-001597	OPRK1
QW917-001601	GRIN1
QW917-001602	ODF3
QW917-001603	ODF3
QW917-001604	PWP1
QW917-001606	DNAJB2
QW917-001607	BTBD10
QW917-001612	TTLL12
QW917-001621	ARHGAP8
QW917-001622	ARHGAP1
QW917-001625	CCND2
QW917-001626	CREB3L2
QW917-001627	TPCN2
QW917-001629	SEC15
QW917-001634	EFCAB6
QW917-001640	TFPI2
QW917-001641	HIF1AN
QW917-001642	PRKG1
QW917-001644	EIF4EBP2
QW917-001660	ZMIZ1
QW917-001661	GLUD1
QW917-001683	CNOT6L
QW917-001685	CNOT6L
QW917-001690	LRRC75A
QW917-001697	HSPA8
QW917-001715	TSPAN15
QW917-001728	NAV2
QW917-001729	SCFD2
QW917-001730	SCFD2
QW917-001731	SCFD2
QW917-001732	SCFD2
QW917-001737	ZFAND4
QW917-001739	VDAC2
QW917-001741	PPP6R2
QW917-001745	NAALAD2
QW917-001747	AKIP1
QW917-001749	KLHL6
QW917-001750	SLC9B2
QW917-001753	ADAMTS14
QW917-001753	ADAMTS14
QW917-001754	LET70
QW917-001755	SIRT1
QW917-001759	CDK1
QW917-034796	HTR6
QW917-001780	GPR21
QW917-001782	HRH2
QW917-001783	HTR6
QW917-034799	Htr4
QW917-034799	WNT9B
QW917-001787	Fur2
QW917-001789	TUBA3D
QW917-001792	CNOT6L
QW917-001793	CNOT6L
QW917-001794	TMEM72
QW917-001796	GPROAR1
QW917-001799	TAAR2
QW917-001820	METTL25
QW917-001825	TRPC5
QW917-001830	WDR87
QW917-001842	CNS1
QW917-001843	RPL10A
QW917-001864	DKK3
QW917-001883	PDE3B
QW917-034806	CDADC1
QW917-001886	PTPN13
QW917-001888	TSPAN5
QW917-001889	HTR7
QW917-001890	CAMK2G
QW917-001901	TBXAS1
QW917-001902	CYP3A4
QW917-001903	CYP3A4
QW917-001904	CYP3A4
QW917-001905	GNG7
QW917-001910	casp8
QW917-001923	MBD4
QW917-001923	TUBGCP2
QW917-001924	TUBGCP2
QW917-001925	TUBGCP2
QW917-001926	TUBGCP2
QW917-034809	TMTC2
QW917-001930	PDX1
QW917-001933	SOX17
QW917-001933	AMN1
QW917-001948	KCTD21
QW917-001949	KCTD15
QW917-001962	HCLS1
QW917-001984	GPRNPY4
QW917-001985	GPRNPY4
QW917-001994	PLA2G1B
QW917-001995	PLA2G1B
QW917-001996	PLA2G5
QW917-001998	PLA2G2A
QW917-002000	CUEDC2
QW917-002005	TEAD4
QW917-002017	VHA26
QW917-034812	TACR1
QW917-002020	NID1
QW917-002048	GDAP2
QW917-002083	GDAP2
QW917-002111	SAMD8
QW917-002113	CDC37
QW917-002114	CDC37
QW917-002115	MICAL3
QW917-002121	EIF2B5
QW917-002125	PATL1
QW917-002126	PLA2G1B
QW917-002127	PLA2G1B
QW917-002141	CELF6
QW917-002143	BAK1
QW917-002144	TMEM19
QW917-002145	CCDC34
QW917-002146	HUS1
QW917-002149	CSTF3
QW917-002150	CSTF3
QW917-002154	CCDC53
QW917-002155	MANSC1
QW917-002156	BCL2
QW917-002158	KAT6B
QW917-002159	PALD1
QW917-002166	NPFFR2
QW917-002168	MEP1B
QW917-002169	MEP1B
QW917-002173	utp20
QW917-002174	NMUR1
QW917-002175	utp20
QW917-002177	JMJD6
QW917-002182	KLHL35
QW917-002185	NME5
QW917-002189	KCNA2
QW917-002190	LIN54
QW917-002190	ACTR6
QW917-002214	M1AP
QW917-002215	PSMD13
QW917-002226	KLHL10
QW917-002246	SPON1
QW917-002253	SETD3
QW917-002266	TSTA3
QW917-002268	DHRS12
QW917-002270	GNB2L1
QW917-002271	BTN1
QW917-034822	ATP5F1
QW917-002280	MON1A
QW917-002283	THYN1
QW917-002293	CDH23
QW917-002294	AEBP1
QW917-002295	AEBP1
QW917-002296	LOXHD1
QW917-002298	FCER2
QW917-002303	REG1B
QW917-002308	CBX1
QW917-002309	CBX1
QW917-002326	GPRNPY4
QW917-002328	AEBP2
QW917-002330	PIK3AP1
QW917-002332	GAS2
QW917-002335	ARFGAP2
QW917-002336	SYCP1
QW917-002339	CCDC94
QW917-002341	PRKG1
QW917-002343	DHCR7
QW917-002345	STPG2
QW917-002345	SSBP1
QW917-002354	SYT9
QW917-002363	WDR45
QW917-002365	KLHL3
QW917-002367	Syt13
QW917-002369	NDUFB2
QW917-002370	CDKN1A
QW917-002371	CRY1
QW917-002372	CRY1
QW917-002378	MTCH2
QW917-002379	COPS4
QW917-002382	ACP2
QW917-002383	ACP2
QW917-002384	ACP2
QW917-002388	PLA2G1B
QW917-002391	FOXRED1
QW917-002399	KTI12
QW917-002401	MYO5B
QW917-002403	CEP20
QW917-002405	WDR7
QW917-002406	TXNL1
QW917-002409	CHSY1
QW917-002410	CHSY1
QW917-002411	CHSY1
QW917-002416	AP4E1
QW917-002418	FIBCD1
QW917-002423	GABBR2
