ID	symbol
g10000	DNAH6
g10004	SMU1
g10005	SMU1
g10008	yloB
g10011	MA20_23725
g10023	PAFAH1B2
g1003	OAT
g10032	GLNA
g10040	glmS
g10053	RAN
g10068	CAF16
g10075	LIS1
g10076	UBE2B
g10084	GLC3
g10091	guaB
g10092	IMPDH2
g10094	BBS4
g10102	SLC24A2
g1011	SEPHS1
g10117	PUT1
g10118	RPL23
g10130	ctpA
g10139	ACLY
g10140	ACLA-3
g10141	ACLA-3
g10143	SBEI
g10144	RPL36
g10149	RPI2
g1015	RPL23A
g10165	NEK5
g10170	SCD
g10171	pin1
g10178	NHP6
g1018	DNAH1
g10187	ilvD
g10189	sucB
g10190	glnA
g10193	hslU
g10194	murD
g10196	gpsA
g10200	napA
g10203	hypD
g10210	bglC3
g10217	fhs
g10224	qor
g10226	glmS
g10229	dapA_2
g10230	htrA
g10233	papS
g10234	metXA
g10235	tilS
g10236	rny
g10238	mutS
g10239	prmA
g10243	NIR
g10248	yrbG
g10251	mauG
g10257	nadK
g10259	hemL
g1026	DNAH1
g10260	hinT
g10262	rnc
g10264	acrA
g10268	MA20_20600
g10270	purC
g10278	PDE1
g10290	hppA
g10312	prpD
g10327	DRC1
g10331	AASDH
g10337	Fopnl
g10349	LRRK2
g10350	CCDC33
g10358	CAPN15
g10363	CTSZ
g10377	IGSF22
g10378	hhaIM
g10380	SORCS2
g10383	GALNTL5
g10392	AGO1
g10394	pyrF
g10398	SVIL
g10400	SCP160
g10401	actP
g10436	SVOPL
g10455	pmi
g10463	cotH
g10473	ispH
g10476	EGFL7
g10480	aml
g10481	VCP
g10504	pheT
g1052	TEF3
g10527	IME2
g10528	BRIP1
g10532	lpd
g10534	RPL18
g10548	KAR3
g10552	TYR1
g10553	TYR1
g10556	msrB
g1056	ATP5A1
g10587	RARS
g10600	OSM2
g10601	OSM2
g10620	LANCL1
g10634	purC2
g10635	kamA
g10636	purU
g10637	cobC
g10638	cobQ
g10639	cobW
g1064	trmB
g10640	cobG
g10642	noeK
g10643	proA
g10644	bfr
g10645	leuD
g10646	mtbA
g10647	asd
g10648	purH
g10649	leuS
g10650	gidA
g10651	rho
g10652	dnaQ
g10653	smrA
g10654	sleB
g10655	trpF
g10656	trpA
g10657	addA
g10658	pckA
g10659	alkB
g1066	DBP3
g10660	hisF
g10661	HslV
g10662	p450
g10663	actR
g10664	regB
g10672	TDRD1
g10681	VPS34
g10702	SLC25A34
g10711	SES1
g1074	PIM1
g10748	RPS2
g10750	cfa7
g10752	FUBP3
g10754	NAMPT
g10761	EGD1
g10796	AGD8
g10804	gltB
g10805	gltB
g10807	TTLL8
g10808	PPC1
g10814	iscS
g10819	era
g10820	dnaJ
g10829	MSF1
g10836	atpD
g10838	CCNB2
g10847	CDK9
g10848	pyk
g10852	ERCC4
g10854	CDKA
g10877	nrgA
g10910	ROK1
g10915	nirB
g10916	nirB
g10918	PF2K1
g10942	ANKAR
g10947	LRFN5
g1095	CAPN15
g10960	RAD16
g10985	SLC35E3
g10990	DYNLL2
g10997	UREG
g11006	katG
g11025	CIPK01
g11038	cft-1
g11040	DNAJC2
g11048	SLC38A7
g11051	cruP
g11060	pdxS
g11090	NADK
g11096	CECR1
g11114	psaC
g11116	FbpA
g11136	APX7
g11148	rpl10
g11172	WDR16
g1118	PRF1
g11189	sqdD
g11201	CPS1
g11208	DUT
g11224	MX1
g11231	DDX43
g11236	iunH1
g11240	PRP5
g11243	trbB
g11244	trbI
g11245	traB
g11247	ardC
g1126	TARBP1
g11281	ADH5
g11282	frmA
g11298	GR
g11314	mqo
g11316	mtlK
g11317	ZDHHC16
g11335	ABCB10
g1134	ydiF
g1136	icd
g11380	HAAO
g11387	x34.3
g11388	DYRK2
g11398	petA
g11422	dnaJ2
g11439	DNAJC1
g11449	PHF5A
g11450	poR
g11456	RPS4
g11468	amt
g11489	CALM1
g1149	NAPSA
g11520	DHX29
g11523	HEME4
g11533	ASAH2
g11539	psaD
g1154	REV3
g11554	ANKRD6
g11557	MET22
g11572	CRN1
g11587	SLC25A17
g11599	ULK3
g11610	TMTC4
g11613	vps16
g11625	glgB
g11630	AGBL5
g11633	SLU7
g11639	TTC12
g11667	GDI1
g11693	PRMT5
g117	AAT20.1
g1170	IPL1
g11702	MA20_17930
g11721	fadD14
g11730	TUBB
g11731	TUBB
g1175	nifJ
g11753	pyrC
g11756	fadA
g11763	COPG
g11764	PRO2
g11766	LSM2
g11781	RSE1
g11784	chlI
g11787	uxuA
g1182	GALNT3
g11821	RECQL4
g11828	UBC22
g11841	WDSUB1
g11848	SDH2-1
g1187	PELO
g11893	GCN1L1
g119	EPRS
g11918	ALS2
g11919	vps35
g11943	PRE2
g11953	PRKAR2B
g11954	AMACR
g11961	DNF3
g11962	ATP8A1
g1197	IFT140
g11972	APX7
g11977	MAS1
g11994	UBC
g11998	purD
g12002	recD2
g12005	PPP5C
g12014	PPP1CA
g12020	chlB
g12021	chlB
g12022	pspA
g12024	ABCG2
g12025	esyt1
g12026	TMEM144
g12036	MSM1
g12047	RSE1
g12057	dnaJ
g12084	rpoB
g12085	rpoB
g1209	rfbD2
g12091	CDC123
g12094	PIR3
g12101	miaB
g12104	nei1
g12106	ABCB9
g1211	SLC43A1
g12131	KCNH4
g12152	MA20_22910
g12154	nah
g12164	pacL
g12165	pacL
g12168	RPS17
g12171	CYB5R1
g12173	GRSF1
g12182	USP25
g12194	TG
g12212	ftsH2
g12218	clpB
g1222	petH
g12235	CAPN14
g12237	KCNIP1
g12245	agdC
g1225	OSM2
g12255	FOXRED2
g12263	CPK20
g12264	SF3B3
g12273	RPS4
g12283	DDX23
g12286	FDXACB1
g12287	PMA1
g12296	GPD1
g1231	SLD
g12322	fusA
g1233	CLCN3
g12330	rluA
g12332	DES1
g12336	tuf
g12337	tuf
g12338	tuf
g1235	CCDC37
g12357	CIT3
g1236	CCDC37
g1239	udk
g12391	dbh
g12393	hemG
g12400	lztr1
g12407	ung
g12411	Lhcr9
g12417	yitY
g12419	EXD2
g12420	rfbD
g12422	PFP-BETA
g12438	MEP2
g12445	TTLL9
g12446	TTLL9
g12450	RAB43
g1247	hisC
g12477	SAMHD1
g12480	COMT
g12497	pepA
g12498	pckA
g12499	PCK1
g12504	SIA1
g12507	SORD
g12509	SSC1
g12510	nit
g12513	hemL
g12520	dapB
g12522	lepA
g12524	selD
g12525	prkC
g12527	murG
g12529	thrS
g12533	flgG
g12534	flgK
g12535	trkA
g12540	phoA
g12544	rsmD
g12545	hisF
g12546	prfB
g12551	der
g12559	nqrB
g12560	nqrD
g12561	coaD
g12562	mcsB
g12563	trpE
g12570	frr
g12577	gltB
g12585	asnB
g12587	yfnB
g12588	galA
g12598	aroE
g12602	sucB
g12609	nnrE
g1263	PABPC4
g12636	STT3A
g12638	SLC15A3
g12662	AFG3L2
g12704	TRPT1
g12705	pyrD
g12717	nrgA
g12719	PPP1CC
g1274	WAXY
g12755	CDS1
g12768	YAK1
g12776	PPP1R12C
g12786	SPAST
g12796	ABCA5
g12820	RIB3
g12830	DED1
g12832	ASS1
g12838	ESPL1
g12848	TOP3B
g12853	DGAT2
g12855	LMF1
g12866	SLC17A9
g12887	ATG3
g12899	VILL
g12904	PRCP
g12913	LHCA5
g12935	rlmF
g1295	fadB
g12973	RNPEPL1
g12976	EEF1G
g12979	PMA1
g1298	abcb11
g12980	PMA1
g12985	MA20_27905
g12986	betA
g12996	TCB2
g1300	RDH8
g13005	GAS5
g13010	prlC
g13049	COQ2
g13060	smc
g13069	ACSL6
g13090	CEP131
g13091	KIF11
g13098	panE
g13099	COG6
g13101	PGI
g13112	RNF103
g13125	TSSC1
g1314	IRGC
g13142	HSP70
g13148	PRDM1
g13162	MAN2B1
g13170	MA20_03725
g13176	ftsH1
g13177	ftsH
g13184	SSNA1
g13185	dctA
g13186	dctA
g132	HSP70A
g13230	PIGP
g13233	DUSP22
g13248	crcB1
g13253	ribA
g13254	ribBA
g13257	UBC6
g13268	USP
g13280	hoxN
g13281	AAT16
g1329	TPCN3
